dropout_rate,mean,std,count
0.05,0.06319794866462661,0.022253440246281567,20
0.07,0.06702235357660105,0.02392435007714044,27
0.09,0.07100511124206664,0.024609003523499765,33
0.11,0.0759707184214103,0.02498567813727567,35
0.13,0.08044127732400669,0.0252466235230704,36
0.15,0.08525719137381196,0.025374162727569576,36
0.17,0.08974222353273528,0.025945464511509874,36
0.19,0.09365627960796868,0.0264620363083469,36
0.21,0.09784263910159921,0.026521699168255496,36
0.23,0.10247495555353149,0.026989111512153115,36
0.25,0.10714908045575759,0.027653961809497245,36
0.27,0.1120343377398538,0.028474899873881118,36
0.29,0.11670876798464652,0.029281715184091634,36
0.31,0.12142020556947797,0.030614687044887772,36
0.33,0.12590380348290417,0.032108249265901494,36
0.35,0.13105463502656356,0.03411031631905379,36
0.37,0.13608874623275047,0.03658015141619283,36
0.39,0.14175727908632546,0.040141096439607886,36
0.41,0.1486453086317917,0.04527036463475344,36
0.43,0.15576708260205122,0.051326382131179224,36
0.45,0.156311357949692,0.05619783573963498,33
0.47,0.15909962461442917,0.06129116720516716,32
0.49,0.15933394050526342,0.06352698517879385,31
0.51,0.15877628150568374,0.06116889857366507,28
0.53,0.16326587076641252,0.06803403632653378,25
0.55,0.1793649943637263,0.07513447417044217,22
0.57,0.19520828554042258,0.07811174261443529,18
0.59,0.23208976804118608,0.07872323629327412,12
0.61,0.21100709653682767,0.06486056376070048,10
0.63,0.21609227830228095,0.0743766846854093,10
0.65,0.21869079929084267,0.07859680444908274,10
0.67,0.22347640598606153,0.08696214631123957,10
0.69,0.23405804010875647,0.10781638535998081,9
0.71,0.23451856910913627,0.10865251887062949,9
0.73,0.2410370507979668,0.12086849259700998,9
0.75,0.2433763359985912,0.12487569400795218,9
0.77,0.24841773607638254,0.133719689876708,9
0.79,0.2549169982979186,0.1414245554589014,8
0.81,0.2549169982979186,0.1414245554589014,8
0.83,0.2549169982979186,0.1414245554589014,8
0.85,0.2573826061529958,0.14413877890400634,8
0.87,0.2879857052329169,0.2024265462536422,7
0.89,0.2256030847682429,0.1267809993283573,6
0.91,0.1750374206241052,0.007396674561335934,5
0.93,0.1774003387525644,0.005667638014465416,5
0.95,0.1790671054312246,0.007150053585591289,5
0.97,0.18889578883985383,0.007229910437588864,5
